name,O,OH,U_param,spin,oxidation_states_A,oxidation_states_B,electronegativity_A,electronegativity_B,Tolerance_factor,Octahedral_factor,ionic_ration_AO,ionic_ration_BO,Diff_A_O,Diff_B_O,Z_1,atomic_radius_1,mendeleev_no_1,common_oxidation_states_1,X_1,thermal_conductivity_1,average_ionic_radius_1,atomic_orbitals_1,s_filling,s_center,s_sigma_c,s_skewness,s_kurtosis,dz2_filling,dz2_center,dz2_sigma_c,dz2_skewness,dz2_kurtosis,dzx_filling,dzx_center,dzx_sigma_c,dzx_skewness,dzx_kurtosis,dzy_filling,dzy_center,dzy_sigma_c,dzy_skewness,dzy_kurtosis,dx2_y2_filling,dx2_y2_center,dx2_y2_sigma_c,dx2_y2_skewness,dx2_y2_kurtosis,dxy_filling,dxy_center,dxy_sigma_c,dxy_skewness,dxy_kurtosis,pz_filling,pz_center,pz_sigma_c,pz_skewness,pz_kurtosis,px_filling,px_center,px_sigma_c,px_skewness,px_kurtosis,py_filling,py_center,py_sigma_c,py_skewness,py_kurtosis,eg_ratio
Ca2Ru2O6,0.80532601,,0,1,4,3,1,2.2,0.88342336,0.524603175,0.904761905,0.524603175,-2.44,-1.24,17.6,0.98,76.2,-0.2,2.704,64.015948,1.1162,-1.076772,0.965603649,-38.89674485,9.427275146,4.066811639,17.88902874,0.521380385,-3.572340409,6.7456167,-0.801018042,2.92156265,0.719126603,-2.194036995,2.814041478,-0.489383448,2.527070399,0.706115287,-2.177115425,2.833130436,-0.459445718,2.533484908,0.495932545,-2.952393981,6.873410453,-0.837297874,2.938125638,0.728041132,-2.201082083,2.804761143,-0.504011717,2.538520965,0.900448223,-3.101042239,2.574623454,0.536695623,5.491063502,0.770243232,-4.006202207,4.199889833,1.043128959,2.800851388,0.895341367,-3.083994371,2.595342048,0.553895088,5.427051735,0.333506339
Rb2Ti2O6,4.70048301,,0,1,2,4,0.82,1.54,0.977783016,0.675925926,1.317460317,0.675925926,-2.62,-1.9,16.6,1.11,72.6,-0.2,2.536,16.015948,1.258333333,-0.7832486,0.998598405,-22.67549539,2.659216824,7.114640346,56.87615366,0.246997125,3.177568234,5.082355129,-1.805964159,6.540295158,0.139888328,2.765317849,2.131988614,-1.77760406,6.029952519,0.13767555,2.772278335,2.141364736,-1.741092925,5.959950124,0.262237824,3.177356892,5.073379222,-1.823084303,6.558587658,0.141589217,2.757946014,2.122717992,-1.81348675,6.101381753,0.678059845,-0.626434375,1.948981237,-0.291222655,11.63119577,0.810290143,-1.160910567,3.815316227,-0.455101793,15.97442167,0.674533287,-0.62744369,1.951593202,-0.268735879,11.67768621,0.573992488
LaAgIr2O6,1.95815901,,0,1,4,3,1.515,2.2,0.834327804,0.607142857,0.896296296,0.607142857,-1.925,-1.24,30.6,0.985,84.2,-0.2,2.807,74.315948,1.134866667,-0.8974517,0.701558037,-16.25473774,4.305765462,2.056690104,20.14695856,0.617284269,-4.793098239,6.108487766,-0.786810829,2.981189501,0.810700738,-2.66803383,2.725105644,-0.437296351,2.308680883,0.78894922,-2.656872779,2.741422448,-0.408123302,2.313135274,0.641899523,-5.002056409,6.233482684,-0.629466436,2.896534052,0.831149105,-2.683531407,2.706259575,-0.468925634,2.303287609,0.937889896,-3.1658095,2.272727698,-0.525994357,5.34516209,0.899234797,-5.866044001,2.916106522,1.632475914,5.978274185,0.932499884,-3.162157576,2.279495025,-0.498515084,5.39038205,0.30134897
Ca2Ni2O6,4.48621601,0.658206695,6.2,2,4,2,1,1.91,0.848528137,0.587301587,0.904761905,0.587301587,-2.44,-1.53,14.4,0.99,77.2,-0.4,2.646,58.215948,1.132,-0.5932522,0.77366674,-26.68387361,20.78826693,1.223583832,2.53848508,0.537788795,-1.526244048,5.274617355,-0.455029978,3.848531169,0.913392114,-3.044952452,4.56080662,3.144297379,13.33211604,0.914991603,-3.128457052,4.387391904,3.225121574,14.17727373,0.540707484,-1.557721039,5.235848349,-0.488056536,3.87301345,0.914668051,-3.012736487,4.620463567,3.105417027,12.97328715,0.619284762,0.906202184,5.440710106,1.471624599,4.503638127,0.627133636,-0.097045366,6.500846409,1.403649233,4.076622915,0.623946101,0.852592879,5.360973782,1.4672295,4.516651476,0.287858448
BaNaTi2O6,4.81711401,2.008516695,0,1,3,4,0.91,1.54,0.865605854,0.675925926,1.051587302,0.675925926,-2.53,-1.9,15.9,1.035,73.3,-0.1,2.554,20.215948,1.191333333,-0.7744752,0.549714588,-8.613023001,4.152364845,1.12310351,18.71759943,0.27237434,2.829838349,5.421263885,-1.672451637,5.813845578,0.143725001,2.648621015,2.28280872,-1.769804985,5.985545482,0.140554223,2.658624663,2.29491059,-1.728174246,5.902388886,0.279770214,2.996786509,5.396387692,-1.711515729,5.927762697,0.143685325,2.64056625,2.274163743,-1.797931803,6.059523579,0.742559924,-0.870481302,2.230938262,0.295181846,11.00088568,0.817446505,-1.325086037,4.028406656,-0.520482942,15.37632911,0.737093768,-0.828016362,2.308362108,0.481135759,10.55451144,0.582811343
BaNaMo2O6,-1.46419899,-1.829900305,4.38,1,3,4,0.91,2.16,0.898216722,0.615079365,1.051587302,0.615079365,-2.53,-1.28,19.9,1.045,74.3,-0.1,2.678,43.615948,1.176,-1.1880188,0.494703387,-9.770066448,5.957464225,0.039143698,12.55298232,0.354281766,-0.570741836,7.142896319,-1.085931721,3.415634607,0.460653853,-0.884794197,2.919368787,-0.843791953,3.50671961,0.465109582,-0.874548676,2.929313582,-0.833535115,3.450245597,0.375046417,-0.5701438,7.123910557,-1.105957979,3.421629499,0.450077584,-0.884583418,2.923303233,-0.820238343,3.597627856,0.825663684,-2.70523813,3.489198753,1.310665881,5.209698697,0.776919543,-3.508069156,4.709207007,1.203906367,2.932446135,0.826312889,-2.76594321,3.402335017,1.291922171,5.298563336,0.377923858
CaNaMn2O6,3.99301201,0.972477695,3.9,2,3,2,0.965,1.55,0.892992494,0.514550265,0.912698413,0.514550265,-2.475,-1.89,12.9,1,75.3,-0.5,2.567,35.575948,1.115666667,-0.7815256,0.413567685,-8.893960745,12.24561265,-0.59610852,7.521423475,0.38279176,0.290411422,5.296987777,-0.99804971,4.654124314,0.511943534,-0.191457993,4.505642944,0.599235784,3.683611479,0.510921757,-0.212859525,4.464809086,0.553537035,3.532631193,0.386309508,0.263804433,5.259174982,-1.051361638,4.648459791,0.513006334,-0.182361576,4.524489485,0.620831541,3.75472637,0.596317894,0.748199322,5.250947189,1.509267551,4.817983492,0.675175025,-0.747851248,6.07448507,0.907599978,8.085840666,0.59848235,0.706326121,5.193600748,1.513777775,4.876742178,0.349009917
LaCaY2O6,4.19112301,,0,1,5,3,1.05,1.22,0.742769558,0.825396825,0.917460317,0.825396825,-2.39,-2.22,20.3,1.095,70.5,-0.1,2.518,24.715948,1.1952,-0.8896064,0.995883343,-35.58157494,5.275672893,6.234813285,41.17073417,0.967844635,-4.561587193,5.303392784,-1.534825322,3.613980346,0.92124075,-1.865251807,1.769685614,0.334274575,18.33711151,0.887589565,-1.642055287,2.079667831,0.744392874,11.44617276,0.954488842,-4.254422942,5.373419655,-1.545769051,3.648225061,0.903805835,-1.752454367,1.937324586,0.708392346,14.25736382,0.851689646,-1.30334473,1.29666581,-1.907039603,33.02853692,0.881377682,-1.614827338,2.63996892,-6.245624738,53.55076159,0.840733597,-1.291800727,1.312380291,-1.793687162,31.6974444,0.675642177
CaNaV2O6,0.53539101,-0.162633305,3.25,1,3,5,0.965,1.63,0.836381518,0.617063492,0.912698413,0.617063492,-2.475,-1.81,12.5,0.99,74.1,0.1,2.583,40.215948,1.1415,-0.778492,0.793874313,-20.40055264,6.057075857,2.448797407,17.53229113,0.341148077,-0.480462665,5.591599801,-1.376106499,4.735853395,0.286391897,0.013607595,2.419777231,-1.327002346,4.06559134,0.295879205,0.02771706,2.435540354,-1.282720802,4.027250855,0.343676825,-0.086406126,5.597333658,-1.420174953,4.835980649,0.273569449,0.0077633,2.411493965,-1.349831073,4.109913885,0.887995972,-2.790815192,2.190429719,-0.227500233,12.03115955,0.813772132,-3.545134641,4.244388678,-1.208496925,20.43353802,0.892724927,-2.789398369,2.197069117,-0.189798465,12.07739843,0.449691363
Ag2Ag2O6,4.90756601,,0,1,2,1,1.93,1.93,0.707106781,0.862433862,0.862433862,0.862433862,-1.51,-1.51,23.6,1,89,-0.8,2.836,172.015948,1.190666667,-1.8120532,0.139037376,3.779378906,2.970018188,-2.107911736,10.50372765,0.781255286,-3.811669824,4.48555541,-0.636384954,4.072426648,0.9639728,-3.949332048,1.843850563,1.132926626,3.740255606,0.960251684,-3.947115299,1.848315193,1.135479722,3.685019517,0.721140903,-3.821444834,4.462920962,-0.676150705,4.041937498,0.969626965,-3.946596076,1.856272599,1.218826837,4.516785091,0.715187163,-0.700508205,2.440280683,1.079632987,7.348564953,0.643350116,-2.160684277,3.53901008,0.402716487,2.556184496,0.714706657,-0.570470713,2.667576608,1.298066328,7.024551669,0.358436251
